,name,cuisine,is_closed,review_count,rating,price,address,phone,latitude,longitude,zip_code,building
66,Dunkin',donuts,False,18,2.5,$,3043 Steinway St,+17187217888,40.7626636596345,-73.915799,11103,3043
67,Pronto Pizzeria,pizza,False,145,4.0,$$,45-19 28th Ave,+17182744416,40.76346,-73.90886,11103,45
68,King's Deli,delis,False,14,2.5,$$,2813 Steinway St,+17185450435,40.76494,-73.9137499,11103,2813
69,Sampan Chinese Restaurant,chinese,False,74,3.0,$,28-48 Steinway St,+17182781931,40.7644,-73.9148699,11103,28
70,The Wolfhound,irish_pubs,False,35,4.5,$$,38-14 30th Ave,+17182042111,40.76385,-73.91544,11103,38
71,Lotus 1,vietnamese,False,114,4.0,$,4119 31st Ave,+17189563388,40.7607851,-73.915434,11103,4119
72,Prik Thai Kitchen,thai,False,94,3.5,$,4716 30th Ave,+17187771502,40.76099,-73.9088395,11103,4716
73,KFC,hotdogs,False,41,3.0,$,3042 Steinway St,+17182672222,40.762967,-73.916068,11103,3042
74,DiWine,newamerican,False,771,4.0,$$,41-15 31st Ave,+17187771355,40.76087,-73.91557,11103,41
75,Super China Pagoda,halal,False,44,3.5,$,4720 30th Ave,+17186260388,40.7610039,-73.9091797,11103,4720
76,Shillelagh Tavern,sportsbars,False,38,3.5,$,47-22 30th Ave,+17187289028,40.7609995,-73.9091699,11103,47
77,Gyro Uno,greek,False,132,4.0,$,2801 Steinway St,+17182744870,40.7652236,-73.913692,11103,2801
78,St Nicholas Express Deli,delis,False,3,2.5,$,25 St Nicholas Ter,+12128652500,40.8130964442213,-73.9518338441849,10027,25
79,Maison Harlem,french,False,487,4.0,$$,341 St Nicholas Ave,+12122229224,40.8121862892803,-73.9516100875101,10027,341
80,Key Food,grocery,False,8,2.0,$$,421 W 125th St,+12127490200,40.8120741,-73.9547296,10027,421
81,Domino's Pizza,pizza,False,43,2.5,$,409 W 125th St,+12122803200,40.8118476867676,-73.9544067382812,10027,409
82,Family Community Deli,delis,False,3,4.5,$,41 Saint Nicholas Ter,+12128655900,40.81373,-73.95134,10027,41
83,Tang S,chinese,False,16,2.0,$,306 St Nicholas Ave,+12128645179,40.8110183,-73.9523964,10027,306
84,McDonald's,hotdogs,False,26,2.0,$,354 W 125th St,+16468503553,40.81078,-73.953039,10027,354
85,Popeyes Louisiana Kitchen,hotdogs,False,47,2.5,$,321 125th St,+12129320160,40.810818,-73.952212,10027,321
86,Dunkin',coffee,False,12,2.5,$,321 W 125th St,+12129329636,40.8109207,-73.9521866,10027,321
87,New Aroma Chinese Restaurant,chinese,False,29,3.5,$,465 W 125th St,+12129328706,40.8132171630859,-73.9557037353516,10027,465
88,Checkers,hotdogs,False,11,2.5,$,291 St. Nicholas Ave,+16468337302,40.81059,-73.95295,10027,291
89,Roland's,pizza,False,43,4.5,$$,303 West 127th St,+16466827810,40.811847,-73.950549,10027,303
90,St Nicholas Gourmet Deli,delis,False,16,5.0,$,285 Saint Nicholas Ave,+12128663354,40.81035,-73.95312,10027,285
91,Plowshares Coffee,coffeeroasteries,False,28,4.5,$$,1351 Amsterdam Ave,+19178483257,40.81381,-73.95575,10027,1351
92,Jimbo's Hamburger Palace,burgers,False,31,3.5,$,1345 Amsterdam Ave,+12128658777,40.8135833740234,-73.9558029174805,10027,1345
93,Subway,sandwiches,False,8,2.0,$,281 St Nicholas Ave,+19172620637,40.8104086418988,-73.9532292688004,10027,281
94,Harlem Bar-B-Q,bbq,False,240,3.0,$$,2367 Frederick Douglass Blvd,+12122221922,40.811714,-73.950416,10027,2367
95,Bungalow Lounge,newamerican,False,2,2.0,$$,2367 Frederick Douglass Blvd,+12122221922,40.811684,-73.950439,10027,2367
96,Manna's,soulfood,False,103,3.5,$$,2353 Frederick Douglass Blvd,+12127499084,40.81112,-73.95087,10027,2353
97,Flaming Grill & Modern Buffet,buffets,False,27,3.5,$$,2349 Frederick Douglas Blvd,+12122220018,40.81086,-73.95084,10027,2349
98,Chuck E. Cheese,arcades,False,41,2.5,$$,280 St Nicholas Ave,+12122229522,40.81006,-73.95208,10027,280
99,Columbia Deli & Grill,delis,False,5,2.5,$,1348 Amsterdam Ave,+16464906383,40.8138066530228,-73.9560194313526,10027,1348
100,Dunkin',donuts,False,13,2.0,$,1342 Amsterdam Ave,+12122224136,40.8136914,-73.9561936,10027,1342
101,El Nuevo Tina,latin,False,52,3.5,$,511 W 125th St,+12122221104,40.8140289773263,-73.9563959464431,10027,511
102,El Puerto Seafood,seafood,False,88,4.0,$$,511 W 125th St,+12128657676,40.8140258789062,-73.956413269043,10027,511
103,Clay,newamerican,False,142,4.5,$$$,553 Manhattan Ave,+12127291850,40.8094002234406,-73.9536950700793,10027,553
104,Red Lobster,seafood,False,239,2.5,$$,261 W 125th St,+12122801930,40.810073,-73.950483,10027,261
105,Cafe at Apollo,musicvenues,False,180,4.5,$$,253 W 125th St,+12125315300,40.80991,-73.95013,10027,253
106,West Place,chinese,False,57,3.0,$,1288 Amsterdam Ave,+12129329390,40.8116735,-73.957693,10027,1288
107,Lighthouse Fish Market & Restaurant,chicken_wings,False,228,3.5,$$,2451 Frederick Douglass Blvd,+12122032241,40.81434,-73.94854,10027,2451
108,W XYZ Bar,venues,False,37,3.5,$$,2296 Frederick Douglass Blvd,+12127494000,40.809116,-73.951537,10027,2296
109,Nikko,asianfusion,False,359,3.5,$$,1280 Amsterdam Ave,+12125311188,40.81156,-73.95781,10027,1280
110,Sugar Monk,cocktailbars,False,50,5.0,$$,2292 Frederick Douglass Blvd,+19174090028,40.80896,-73.95184,10027,2292
111,Max Soha,italian,False,408,4.0,$$,1274 Amsterdam Ave,+12125312221,40.811302,-73.958183,10027,1274
112,Dun Huang - Upper West,chinese,False,74,3.5,$$,1268 Amsterdam Ave,+16464764549,40.81106,-73.95818,10027,1268
113,Charles Pan Fried Chicken,southern,False,103,4.0,$$,2461 Frederick Douglass Blvd,+12122811800,40.8146146267905,-73.9482675120234,10027,2461
114,Kings Co Imperial - New York,chinese,False,61,4.0,$$,168 1/2 Delancey St,+12124750244,40.717946,-73.985418,10002,168
115,Niche,japanese,False,100,4.0,$$,172 Delancey St,+19292741629,40.71786,-73.98518,10002,172
116,Nakamura,ramen,False,377,4.0,$$,172 Delancey St,+12126141810,40.717975,-73.985115,10002,172
117,The Delancey,lounges,False,586,3.0,$$,168 Delancey St,+12122549920,40.71803,-73.98528,10002,168
118,Saluggi's East,pizza,False,91,4.0,$$,399 Grand St,+16468961163,40.715948062187,-73.9873785183775,10002,399
119,La Flaca,mexican,False,350,3.5,$$,384 Grand St,+16466929259,40.7165,-73.98763,10002,384
120,Great Wall Chinese,chinese,False,84,3.5,$,384 Grand St,+12122605888,40.7165,-73.98763,10002,384
121,3 Times 茅庐,dimsum,False,44,4.0,$$,90 Clinton St,+16466096324,40.718271,-73.985209,10002,90
122,Retro Bar and Grill,tradamerican,False,34,2.5,$$,150 Delancey St,+12122288379,40.7183,-73.986244,10002,150
123,La Isla Cafe,latin,False,8,4.0,$,212 Delancey St,+12125984752,40.71727,-73.98321,10002,212
124,Davelle,japanese,False,121,4.0,$$,102 Suffolk St,,40.71852,-73.98605,10002,102
125,Santo Domingo Bakery,bakeries,False,28,3.5,$,93 Clinton St,+12125052029,40.71862,-73.98561,10002,93
126,7-Eleven,convenience,False,10,4.0,$,142 Delancey St,+12122284356,40.7183953,-73.9867457,10002,142
127,Burger King,hotdogs,False,22,2.0,$,146 Delancey Street,,40.7184633,-73.9866258,10002,146
128,Dunkin',coffee,False,30,2.0,$,140 Delancey St,+12127772003,40.71847,-73.98665,10002,140
129,Essex Market,publicmarkets,False,262,4.0,$$,88 Essex St,,40.718101,-73.987587,10002,88
130,Clancey,newamerican,False,173,4.5,$$,79 Clinton St,+19173883575,40.7190299,-73.98521,10002,79
131,Doughnut Plant,donuts,False,3209,4.5,$$,379 Grand St,+12125053700,40.7163944930004,-73.9886098620298,10002,379
132,Black Crescent,cocktailbars,False,158,4.0,$$,76 Clinton St,+12124771771,40.7189335809837,-73.985032499371,10002,76
133,Peasant Stock,soup,False,51,4.5,$,120 Essex St,+12122547687,40.718045,-73.988052,10002,120
134,La Contenta,mexican,False,746,4.5,$$,102 Norfolk St,+12124324180,40.71873,-73.98691,10002,102
135,The Back Room,lounges,False,880,3.5,$$,102 Norfolk St,+12122285098,40.71878,-73.98706,10002,102
136,Davidovich Bakery,bagels,False,106,3.5,$,88 Essex St,+16469186763,40.717747,-73.988418,10002,88
137,Cafe d’Avignon - Essex Market,bakeries,False,82,4.5,$$,88 Essex St,+19172612092,40.71792,-73.988317,10002,88
138,Kossar's,bakeries,False,515,3.5,$,367 Grand St,+12124734810,40.71641,-73.98879,10002,367
139,Nitecap,cocktailbars,False,339,4.0,$$,151 Rivington St,,40.719125,-73.985732,10002,151
140,Yopparai,bars,False,232,4.5,$$$,151 Rivington St,+12127777253,40.71919,-73.98571,10002,151
141,Puebla,mexican,False,24,3.5,$,88 Essex St,+12124736643,40.717988,-73.988314,10002,88
142,Ginger and Lemongrass,vietnamese,False,363,4.0,$$,153 Rivington St,+16468761237,40.71912,-73.98567,10002,153
143,Bar Alaska,cocktailbars,False,12,3.5,$$,174 Rivington St,+16466495545,40.71899,-73.9844899,10002,174
144,Good Hope Restaurant,caribbean,False,16,4.0,$$,12115 Liberty Ave,+17188480255,40.6873099,-73.8219699,11419,12115
145,Tropical Jade Garden,chinese,False,19,2.5,$,10801 Liberty Ave,+17186414168,40.6870170890106,-73.8219216245485,11419,10801
146,Elevate Sky Lounge,lounges,False,18,3.5,$$$,123-07 Liberty Ave,+17183232026,40.6876080600462,-73.8209485671971,11419,123
147,Tastewell Bakery,bakeries,False,3,3.5,$$,123-03 Liberty Ave,+13475619526,40.6875294591495,-73.8209649972488,11419,123
148,New Thriving,chinese,False,24,2.5,$,12012 Liberty Ave,+17188358888,40.686537,-73.822739,11419,12012
149,Kaieteur Express Restaurant,caribbean,False,64,3.0,$$,12004 Liberty Ave,+17183238748,40.6865192859877,-73.8230297224288,11419,12004
150,Checkers,hotdogs,False,14,3.0,$,120-06 Liberty Ave,+17188484400,40.68643,-73.82291,11419,120
151,Burger King,burgers,False,16,2.5,$,12002 Liberty Ave,,40.686385,-73.823073,11419,12002
152,McDonald's,hotdogs,False,19,2.0,$,119-05 Liberty Ave,+17188438777,40.686474,-73.823948,11419,119
153,Underground,lounges,False,12,2.5,$$,104-09 123rd St,+17183224144,40.68722,-73.82041,11419,104
154,Abdul Halal Food Cart,mideastern,False,12,3.5,$,Liberty Ave & Lefferts Blvd,+16467249833,40.68623,-73.82417,11419,
155,Popeyes Louisiana Kitchen,hotdogs,False,20,2.5,$,10413 Lefferts Blvd,+17183222325,40.686026,-73.823886,11419,10413
156,Sohna Punjab Dhaba Indian Resturant,restaurants,False,1,1.0,$$,11916 101st Ave,+17188476400,40.689913,-73.825223,11419,11916
157,Punjabi Dhaba Catering & Sweets,catering,False,25,4.0,$,11916 101st Ave,+17184878002,40.689913,-73.825223,11419,11916
158,Guyana Choice Bakery,bakeries,False,5,3.5,$,11914 101st Ave,+17188050908,40.689894,-73.825291,11419,11914
159,Subway,sandwiches,False,7,3.5,$,118-18 Liberty Ave,+17183231858,40.6859752374944,-73.8243291282243,11419,118
160,Anil's Roti Shop & Bakery,bakeries,False,42,3.0,$,12501 Liberty Ave,+17188452800,40.6881575765206,-73.8193191075017,11419,12501
161,Sonny's Roti Shop,trinidadian,False,36,3.0,$,118-06 Liberty Ave,+17188357255,40.68581,-73.82465,11419,118
162,Tommy's Pizza,pizza,False,83,3.5,$,11711 Liberty Ave,+17188354408,40.68616,-73.82553,11419,11711
163,Hibiscus Restaurant & Bar,caribbean,False,133,2.5,$$,124-18 101st Ave,+17188494225,40.6911,-73.82099,11419,124
164,Chopsticks,chinese,False,57,3.5,$$,11716 Liberty Ave,+17188483100,40.6857552,-73.8256182,11419,11716
165,Apna Virsa,indpak,False,7,2.0,$$,118-5 101st Ave,+17188056300,40.6899266,-73.8266505,11419,118
166,Dunkin',coffee,False,12,2.5,$,11611 Liberty Ave,+17188459561,40.686093,-73.826419,11419,11611
167,Darbars Chicken & Ribs,halal,False,99,3.5,$,12609 Liberty Ave,+17185294900,40.688737,-73.8181408,11419,12609
168,Carifesta Restaurant,caribbean,False,25,3.5,$,12615 Liberty Ave,+17183222210,40.68887,-73.81799,11419,12615
169,Carvel,icecream,False,11,3.0,$$,11610 Liberty Ave,+17188456197,40.68563,-73.82632,11419,11610
170,Little Guyana Bake Shop,bakeries,False,10,2.0,$,11604 Liberties Ave,+17188436530,40.68959,-73.82726,11419,11604
171,The Nest Restaurant & Bar,caribbean,False,128,3.0,$$,12517 101st Ave,+17188474035,40.691807,-73.820355,11419,12517
172,Bakewell Bakery & Restaurant,bakeries,False,28,3.0,$,127-08 Liberty Ave,+17183225600,40.68857,-73.81747,11419,127
173,Chris One Flavor,spanish,False,13,3.5,$,115-15 Liberty Ave,+17185293449,40.686,-73.82725,11419,115
174,Sugaz Lounge & Restaurant,sportsbars,False,1,4.0,$,115-22 Liberty Ave,+17183232453,40.6856296,-73.8269617,11419,115
175,Cheun Hing Kitchen,chinese,False,3,4.0,$,12618 101st Ave,+17188460337,40.69158,-73.81923,11419,12618
176,Punjabi Diner,indpak,False,14,3.0,$$,116-1 101st Ave,+17188463900,40.6893308825209,-73.828362131187,11419,116
177,Darbars Halal Roti Spot,halal,False,7,2.5,$,128-12 Liberty Ave,+17183743294,40.689112042894,-73.8167445767223,11419,128
178,Chipotle Mexican Grill,hotdogs,False,195,3.5,$,185 Montague St,+17182439109,40.69426,-73.99186,11201,185
179,Gregorys Coffee,coffee,False,56,3.5,$,16 Court St,+19293376368,40.693613,-73.990789,11201,16
180,Fresh Start,grocery,False,42,2.5,$$,180 Montague St,+17182221515,40.69399,-73.99189,11201,180
181,Thai on Clinton,foodtrucks,False,20,4.5,$,172 Montague St,+19177026055,40.69398,-73.99219,11201,172
182,Curry Heights,indpak,False,257,3.5,$$,151 Remsen St,+17182609000,40.693685,-73.992154,11201,151
183,Nanatori Japanese Restaurant,japanese,False,206,3.5,$$,162 Montague St,+17185225555,40.694149,-73.99282,11201,162
184,Lichee Nut,chinese,False,265,3.0,$$,162 Montague St,+17185225565,40.694149,-73.9928131,11201,162
185,Antonio's Pizzeria & Cafe,pizza,False,72,3.5,$,32 Court St,+17182371700,40.6929657361683,-73.9910462092274,11201,32
186,Monty Q's,pizza,False,232,3.0,$,158 Montague St,+17182462000,40.6942,-73.99299,11201,158
187,Happy Days Diner,diners,False,154,2.5,$$,148 Montague St,+17188758361,40.69441,-73.99337,11201,148
188,Hanco's,vietnamese,False,300,3.5,$,147 Montague St,+13475295054,40.694767,-73.993368,11201,147
189,Archives Restaurant,bakeries,False,6,2.0,$$$,333 Adams St,+17182226543,40.6937214645194,-73.9884354362992,11201,333
190,Yossi's Cart,foodstands,False,5,4.5,$,Corner of Court St & Joralemon St,,40.69254,-73.99101,11201,
191,honeygrow,salad,False,175,4.0,$$,194 Joralemon St,+13474220714,40.6925,-73.99141,11201,194
192,Grand Canyon Restaurant,tradamerican,False,69,4.5,$$,143 Montague St,+13478896670,40.69473,-73.99361,11201,143
193,King Food / Halal Food,streetvendors,False,7,4.5,$,339 Adams St,,40.6932620592323,-73.988677573279,11201,339
194,Starbucks,coffee,False,99,2.5,$$,50 Court St,+17188550369,40.692464,-73.991201,11201,50
195,B.GOOD,salad,False,179,4.0,$$,141 Montague St,+17185224663,40.694833,-73.9936578,11201,141
196,Rocco's Tacos & Tequila Bar,bars,False,1313,3.5,$$,339 Adams St,+17182468226,40.693247,-73.988581,11201,339
197,San Blas,newmexican,False,47,4.5,$$,140 Montague St,+19292980292,40.69452,-73.99371,11201,140
198,Custom House,pubs,False,174,3.0,$$,139 Montague St,+17186436000,40.694862,-73.993713,11201,139
199,Court Order,sandwiches,False,48,3.0,$$,52 Court St,+17189359300,40.692321,-73.991386,11201,52
200,Starbucks,coffee,False,66,3.0,$$,134 Montague St,+17182430455,40.694582,-73.993978,11201,134
201,Dunkin',donuts,False,18,2.0,$,56 Court St,+17186252068,40.692241,-73.991424,11201,56
202,Sunny Delicatessen,delis,False,3,4.5,$,153 Joralemon St,+17186241956,40.693065,-73.993339,11201,153
203,Caffe Buon Gusto,italian,False,199,3.5,$$,132 Montague St,+17185961800,40.6945304,-73.9940702,11201,132
204,Maison Kayser,coffee,False,126,3.5,$$,57 Court St,+17182549600,40.6921231,-73.9911683,11201,57
205,Dos Toros Taqueria,mexican,False,92,3.5,$$,64 Court St,+13474973339,40.6920649351928,-73.9914631471038,11201,64
206,Potbelly Sandwich Shop,sandwiches,False,87,3.0,$,345 Adams St,+12128971872,40.6928561505496,-73.9883451197578,11201,345
207,O'Keefe's Bar & Grill,tradamerican,False,192,3.5,$$,62 Court St,+17188558751,40.6920292,-73.991406,11201,62
208,Pinto Restaurant,thai,False,211,4.0,$$,128 Montague St,+19293377732,40.6947735368336,-73.9943484261754,11201,128
209,Panera Bread,sandwiches,False,192,2.5,$$,345 Adams St,+17186430345,40.692605,-73.988478,11201,345
210,CAVA,mediterranean,False,60,4.0,$$,345 Adams St,+19292967809,40.6925169,-73.988608,11201,345
211,The Juice Shop,juicebars,False,109,3.5,$$,345 Adams St,+17185224109,40.69272,-73.98845,11201,345
212,Brooklyn Bridge Bistro,newamerican,False,60,3.0,$$,63 Tillary St,+17188580007,40.69641,-73.9884,11201,63
213,Juice Press,organic_stores,False,19,2.5,$$,124 Montague St,+19176216629,40.6945796030344,-73.9944971046274,11201,124
214,Worthwild,bars,False,56,4.5,$$,156 9th Ave,+17189429385,40.74428,-74.00272,10011,156
215,Omai,vietnamese,False,265,4.0,$$,158 9th Ave,+12126330550,40.744289,-74.002563,10011,158
216,Salinas,spanish,False,921,4.0,$$$$,136 9th Ave,+12127761990,40.7436999,-74.00314,10011,136
217,Gotham Pizza,pizza,False,160,3.5,$,144 9th Ave,+12129898858,40.74381,-74.00295,10011,144
218,The 18th Room,speakeasies,False,85,4.5,$$$,134 9th Ave,+16465591671,40.7436,-74.00307,10011,134
219,Cooper's Craft & Kitchen,gastropubs,False,383,4.0,$$,169 8th Ave,+16466617711,40.742702,-74.000778,10011,169
220,Starbucks,coffee,False,30,3.0,$,177 Eighth Ave,+12124148786,40.7430196645682,-74.0003835105504,10011,177
221,Stone Street Coffee Company,coffee,False,73,4.0,$$,132 9th Ave,+13473350751,40.74359,-74.00322,10011,132
222,Gym Sportsbar,gaybars,False,100,3.5,$$,167 8th Ave,+12123372439,40.742649,-74.000816,10011,167
223,Milk and Hops,cheese,False,95,4.5,$$,166 9th Ave,+12129891999,40.7446831,-74.0023905374366,10011,166
224,The Dish,tradamerican,False,214,3.5,$$,201 8th Ave,+12123529800,40.74373,-74.0,10011,201
225,Bathtub Gin,speakeasies,False,993,3.5,$$,132 9th Ave,+16465591671,40.7436723627234,-74.0033376216888,10011,132
226,Seamore's,seafood,False,192,3.5,$$,161 8th Ave,+12125979222,40.74247,-74.0009,10011,161
227,Adam's Market Place,breakfast_brunch,False,35,3.0,$,197 8th Ave,+12126207461,40.7435993190334,-73.9999650165478,10011,197
228,Lollino Gelateria & Espresso Bar,coffee,False,109,4.5,$,164 9th Ave,+12126471111,40.7446687,-74.0026873,10011,164
229,Dil-e Punjab Deli,indpak,False,195,4.5,$,170 9th Ave,+12126479428,40.74482,-74.00206,10011,170
230,Chelsea Golden Wok,chinese,False,53,3.0,$,209 8th Ave,+12126200712,40.74401,-73.999824,10011,209
231,Bocca Di Bacco,italian,False,189,3.5,$$,169 9th Ave,+12129898400,40.7445631,-74.0030779,10011,169
